Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-tjbf,checkpoint-pkst,checkpoint-agtd,checkpoint-pcn8,checkpoint-aey2,checkpoint-3te2,checkpoint-y7bn,Question Key,Response
1,1572891751615,04/11/2019 18:22:31,1572891751524,0,04/11/2019 18:22:31,10226,2,questionnaire-9476,,3282471,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,BEGIN QUESTIONNAIRE,
2,1572891767989,04/11/2019 18:22:47,1572891767967,0,04/11/2019 18:22:47,10226,2,questionnaire-9476,,3282471,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1,7
3,1572891768035,04/11/2019 18:22:48,1572891767969,0,04/11/2019 18:22:47,10226,2,questionnaire-9476,,3282471,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1-quantised,7
4,1572891768035,04/11/2019 18:22:48,1572891767969,0,04/11/2019 18:22:47,10226,2,questionnaire-9476,,3282471,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2,7
5,1572891768035,04/11/2019 18:22:48,1572891767969,0,04/11/2019 18:22:47,10226,2,questionnaire-9476,,3282471,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2-quantised,7
6,1572891768035,04/11/2019 18:22:48,1572891767969,0,04/11/2019 18:22:47,10226,2,questionnaire-9476,,3282471,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3,1
7,1572891768035,04/11/2019 18:22:48,1572891767970,0,04/11/2019 18:22:47,10226,2,questionnaire-9476,,3282471,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3-quantised,1
8,1572891768035,04/11/2019 18:22:48,1572891767970,0,04/11/2019 18:22:47,10226,2,questionnaire-9476,,3282471,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4,1
9,1572891768035,04/11/2019 18:22:48,1572891767970,0,04/11/2019 18:22:47,10226,2,questionnaire-9476,,3282471,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4-quantised,1
10,1572891768035,04/11/2019 18:22:48,1572891767970,0,04/11/2019 18:22:47,10226,2,questionnaire-9476,,3282471,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,END QUESTIONNAIRE,16446
1,1573419701099,10/11/2019 21:01:41,1573419699915,1,10/11/2019 22:01:39,10226,2,questionnaire-9476,,3301679,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,BEGIN QUESTIONNAIRE,
2,1573419721109,10/11/2019 21:02:01,1573419720039,1,10/11/2019 22:02:00,10226,2,questionnaire-9476,,3301679,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1,7
3,1573419721187,10/11/2019 21:02:01,1573419720041,1,10/11/2019 22:02:00,10226,2,questionnaire-9476,,3301679,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1-quantised,7
4,1573419721187,10/11/2019 21:02:01,1573419720041,1,10/11/2019 22:02:00,10226,2,questionnaire-9476,,3301679,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2,7
5,1573419721187,10/11/2019 21:02:01,1573419720041,1,10/11/2019 22:02:00,10226,2,questionnaire-9476,,3301679,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2-quantised,7
6,1573419721187,10/11/2019 21:02:01,1573419720041,1,10/11/2019 22:02:00,10226,2,questionnaire-9476,,3301679,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3,1
7,1573419721187,10/11/2019 21:02:01,1573419720042,1,10/11/2019 22:02:00,10226,2,questionnaire-9476,,3301679,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3-quantised,1
