Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-tjbf,checkpoint-pkst,checkpoint-agtd,checkpoint-pcn8,checkpoint-aey2,checkpoint-3te2,checkpoint-y7bn,Question Key,Response
1,1572891568850,04/11/2019 18:19:28,1572891568751,0,04/11/2019 18:19:28,10226,2,questionnaire-3aa4,,3282454,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,BEGIN QUESTIONNAIRE,
2,1572891587069,04/11/2019 18:19:47,1572891587012,0,04/11/2019 18:19:47,10226,2,questionnaire-3aa4,,3282454,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1,7
3,1572891587194,04/11/2019 18:19:47,1572891587014,0,04/11/2019 18:19:47,10226,2,questionnaire-3aa4,,3282454,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1-quantised,7
4,1572891587194,04/11/2019 18:19:47,1572891587014,0,04/11/2019 18:19:47,10226,2,questionnaire-3aa4,,3282454,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2,7
5,1572891587194,04/11/2019 18:19:47,1572891587014,0,04/11/2019 18:19:47,10226,2,questionnaire-3aa4,,3282454,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2-quantised,7
6,1572891587194,04/11/2019 18:19:47,1572891587014,0,04/11/2019 18:19:47,10226,2,questionnaire-3aa4,,3282454,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3,1
7,1572891587194,04/11/2019 18:19:47,1572891587014,0,04/11/2019 18:19:47,10226,2,questionnaire-3aa4,,3282454,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3-quantised,1
8,1572891587194,04/11/2019 18:19:47,1572891587014,0,04/11/2019 18:19:47,10226,2,questionnaire-3aa4,,3282454,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4,1
9,1572891587194,04/11/2019 18:19:47,1572891587015,0,04/11/2019 18:19:47,10226,2,questionnaire-3aa4,,3282454,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4-quantised,1
10,1572891587194,04/11/2019 18:19:47,1572891587015,0,04/11/2019 18:19:47,10226,2,questionnaire-3aa4,,3282454,p101,898397,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 78.0.3904.70,1280x800,1280x721,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,END QUESTIONNAIRE,18264
1,1573419564614,10/11/2019 20:59:24,1573419563482,1,10/11/2019 21:59:23,10226,2,questionnaire-3aa4,,3301673,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,BEGIN QUESTIONNAIRE,
2,1573419590061,10/11/2019 20:59:50,1573419589001,1,10/11/2019 21:59:49,10226,2,questionnaire-3aa4,,3301673,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1,7
3,1573419590153,10/11/2019 20:59:50,1573419589003,1,10/11/2019 21:59:49,10226,2,questionnaire-3aa4,,3301673,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1-quantised,7
4,1573419590153,10/11/2019 20:59:50,1573419589003,1,10/11/2019 21:59:49,10226,2,questionnaire-3aa4,,3301673,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2,7
5,1573419590153,10/11/2019 20:59:50,1573419589003,1,10/11/2019 21:59:49,10226,2,questionnaire-3aa4,,3301673,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2-quantised,7
6,1573419590153,10/11/2019 20:59:50,1573419589003,1,10/11/2019 21:59:49,10226,2,questionnaire-3aa4,,3301673,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3,1
7,1573419590153,10/11/2019 20:59:50,1573419589004,1,10/11/2019 21:59:49,10226,2,questionnaire-3aa4,,3301673,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3-quantised,1
8,1573419590153,10/11/2019 20:59:50,1573419589004,1,10/11/2019 21:59:49,10226,2,questionnaire-3aa4,,3301673,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4,1
9,1573419590153,10/11/2019 20:59:50,1573419589004,1,10/11/2019 21:59:49,10226,2,questionnaire-3aa4,,3301673,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4-quantised,1
10,1573419590153,10/11/2019 20:59:50,1573419589004,1,10/11/2019 21:59:49,10226,2,questionnaire-3aa4,,3301673,p103,905058,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 78.0.3904.87,1440x900,1440x900,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,END QUESTIONNAIRE,25522
