Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-tjbf,checkpoint-pkst,checkpoint-agtd,checkpoint-pcn8,checkpoint-aey2,checkpoint-3te2,checkpoint-y7bn,Question Key,Response
1,1573315393204,09/11/2019 16:03:13,1573315393123,0,09/11/2019 16:03:13,9424,11,questionnaire-9476,,3295634,p102,903750,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 78.0.3904.87,1680x1050,1680x971,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,BEGIN QUESTIONNAIRE,
2,1573315435205,09/11/2019 16:03:55,1573315435128,0,09/11/2019 16:03:55,9424,11,questionnaire-9476,,3295634,p102,903750,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 78.0.3904.87,1680x1050,1680x971,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1,6
3,1573315435298,09/11/2019 16:03:55,1573315435130,0,09/11/2019 16:03:55,9424,11,questionnaire-9476,,3295634,p102,903750,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 78.0.3904.87,1680x1050,1680x971,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1-quantised,6
4,1573315435298,09/11/2019 16:03:55,1573315435130,0,09/11/2019 16:03:55,9424,11,questionnaire-9476,,3295634,p102,903750,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 78.0.3904.87,1680x1050,1680x971,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2,2
5,1573315435298,09/11/2019 16:03:55,1573315435130,0,09/11/2019 16:03:55,9424,11,questionnaire-9476,,3295634,p102,903750,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 78.0.3904.87,1680x1050,1680x971,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2-quantised,2
6,1573315435298,09/11/2019 16:03:55,1573315435130,0,09/11/2019 16:03:55,9424,11,questionnaire-9476,,3295634,p102,903750,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 78.0.3904.87,1680x1050,1680x971,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3,3
7,1573315435298,09/11/2019 16:03:55,1573315435130,0,09/11/2019 16:03:55,9424,11,questionnaire-9476,,3295634,p102,903750,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 78.0.3904.87,1680x1050,1680x971,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3-quantised,3
8,1573315435298,09/11/2019 16:03:55,1573315435130,0,09/11/2019 16:03:55,9424,11,questionnaire-9476,,3295634,p102,903750,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 78.0.3904.87,1680x1050,1680x971,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4,1
9,1573315435298,09/11/2019 16:03:55,1573315435130,0,09/11/2019 16:03:55,9424,11,questionnaire-9476,,3295634,p102,903750,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 78.0.3904.87,1680x1050,1680x971,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4-quantised,1
10,1573315435298,09/11/2019 16:03:55,1573315435130,0,09/11/2019 16:03:55,9424,11,questionnaire-9476,,3295634,p102,903750,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 78.0.3904.87,1680x1050,1680x971,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,END QUESTIONNAIRE,42007
1,1574014468393,17/11/2019 18:14:28,1574014468160,0,17/11/2019 18:14:28,9424,11,questionnaire-9476,,3349669,p109,913863,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 78.0.3904.97,1366x768,1366x657,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,BEGIN QUESTIONNAIRE,
2,1574014485395,17/11/2019 18:14:45,1574014485232,0,17/11/2019 18:14:45,9424,11,questionnaire-9476,,3349669,p109,913863,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1,6
3,1574014485629,17/11/2019 18:14:45,1574014485234,0,17/11/2019 18:14:45,9424,11,questionnaire-9476,,3349669,p109,913863,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1-quantised,6
4,1574014485629,17/11/2019 18:14:45,1574014485235,0,17/11/2019 18:14:45,9424,11,questionnaire-9476,,3349669,p109,913863,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2,5
5,1574014485629,17/11/2019 18:14:45,1574014485235,0,17/11/2019 18:14:45,9424,11,questionnaire-9476,,3349669,p109,913863,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2-quantised,5
6,1574014485629,17/11/2019 18:14:45,1574014485235,0,17/11/2019 18:14:45,9424,11,questionnaire-9476,,3349669,p109,913863,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3,3
7,1574014485629,17/11/2019 18:14:45,1574014485235,0,17/11/2019 18:14:45,9424,11,questionnaire-9476,,3349669,p109,913863,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3-quantised,3
8,1574014485629,17/11/2019 18:14:45,1574014485236,0,17/11/2019 18:14:45,9424,11,questionnaire-9476,,3349669,p109,913863,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4,2
9,1574014485629,17/11/2019 18:14:45,1574014485236,0,17/11/2019 18:14:45,9424,11,questionnaire-9476,,3349669,p109,913863,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4-quantised,2
10,1574014485629,17/11/2019 18:14:45,1574014485237,0,17/11/2019 18:14:45,9424,11,questionnaire-9476,,3349669,p109,913863,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,END QUESTIONNAIRE,17076
1,1574172331470,19/11/2019 14:05:31,1574172507970,0,19/11/2019 14:08:27,9424,11,questionnaire-9476,,3368298,p111,916955,,complete,,,computer,Desktop or Laptop,Mac OS 10.10,Firefox 70.0,1280x800,1280x599,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,BEGIN QUESTIONNAIRE,
