"","ID","group","captcha","mTurkCode","loopOrder","question","answer_learn","accuracy_learn","confidence_learn","submit_time_learn","clicks_learn","answer_test","accuracy_test","confidence_test","submit_time_test","clicks","veracity","session","RWA","AOT","IH","CRT","CRT_old","CRT_new","income","fluent","anxiety","effort","age","gender","edu","conservatism_social","conservatism_economic","conservatism","IH_bin","CRT_bin","RWA_bin","Confidence_bin5","Confidence_ord"
"1","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A1_Q1",1,0,100,4.667,2,2,1,100,4.227,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"3","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A3_Q1",1,0,76,6.988,3,2,1,100,3.55,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"4","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A4_Q1",1,0,100,6.208,2,2,1,100,5.377,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"5","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A5_Q1",2,1,100,6.583,2,2,1,100,6.781,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"7","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A7_Q1",1,0,100,6.198,2,2,1,100,3.901,3,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"8","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A8_Q1",2,1,80,4.138,2,2,1,100,4.089,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"9","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A9_Q1",1,0,100,4.88,2,1,0,75,6.862,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"11","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A11_Q1",2,1,30,7.354,2,2,1,100,4.752,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","2",2
"12","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A12_Q1",2,1,70,6.171,2,2,1,100,6.607,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"13","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A13_Q1",2,1,100,4.071,2,2,1,100,4.404,3,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"14","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A14_Q1",1,0,71,3.789,2,2,1,100,4.847,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"16","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A16_Q1",1,0,40,5.974,2,2,1,100,7.038,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","2",2
"17","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A17_Q1",2,1,81,6.838,2,2,1,100,4.61,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"18","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A18_Q1",1,0,100,4.35,2,1,0,100,7.421,3,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"19","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A19_Q1",2,1,40,5.446,3,2,1,100,3.845,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","2",2
"20","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A20_Q1",1,0,100,5.459,3,2,1,100,4.62,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"21","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A21_Q1",2,1,100,6.075,2,2,1,100,7.972,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"23","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A23_Q1",1,0,76,5.035,2,2,1,100,5.243,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
"24","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A24_Q1",1,0,100,5.004,2,2,1,100,7.106,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"25","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A25_Q1",1,0,100,6.836,2,2,1,100,5.229,2,2,"1",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","5",5
"26","A1N7O7E8HC03D8","A_B","HE3X6",5316,",""Mixing bleach and ammonia is dangerous."",""Chameleons change color to match the object or surface they are touching."",""The ozone laye","A26_Q1",1,0,62,5.379,2,1,0,81,7.647,2,2,"2",3.266666667,5.285714286,3.833333333,0.714285714,1,0.5,5,1,8,15,37,0,6,5,5,5,"low","low","high","4",4
